ID, Name, Form, CategoryID, SubcategoryID, CouseID, Group, Level, Unit, Start, End
T0001, 保健衛生, T, 0, 0, 00, F, 1, 2, 2000, 2100
T0002, 体育理論, T, 0, 0, 00, C, 1, 2, 2000, 2100
S0001, 保健衛生, S, 0, 0, 00, , 1, 1, , 
S0002, ｽﾎﾟｰﾂｸﾗｽ, S, 0, 0, 00, , 1, 1, , 
S0003, ｽﾎﾟｰﾂｾﾐﾅｰ, S, 0, 0, 00, , 1, 2, , 
T0101, 哲学, T, 1, 0, 01, E, 3, 4, 2000, 2100
T0102, 論理学(A), T, 1, 0, 01, B, 1, 4, 2000, 2100
T0103, 文学, T, 1, 0, 01, D, 3, 4, 2000, 2100
T0104, 歴史(日), T, 1, 0, 01, A, 1, 4, 2000, 2100
T0105, 歴史(東), T, 1, 0, 01, C, 1, 4, 2000, 2100
T0106, 歴史(西), T, 1, 0, 01, E, 1, 4, 2000, 2100
M0101, E-哲学, M/B, 1, 0, 01, C, 1, 2, 2014, 2100
S0101, 哲学, S, 1, 0, 01, , 1, 2, , 
S0102, 倫理学, S, 1, 0, 01, , 1, 2, , 
S0103, 論理学(A), S, 1, 0, 01, , 1, 2, , 
S0104, 芸術(音楽), S, 1, 0, 01, , 1, 2, , 
S0105, 芸術(美術), S, 1, 0, 01, , 1, 2, , 
S0106, 歴史(日), S, 1, 0, 01, , 1, 2, , 
S0107, 歴史(東), S, 1, 0, 01, , 1, 2, , 
S0108, 歴史(西), S, 1, 0, 01, , 1, 2, , 
S0109, 文学, S, 1, 0, 01, , 1, 2, , 
S0110, 近代思想史, S, 1, 0, 01, , 1, 2, , 
S0111, 身体知, S, 1, 0, 01, , 1, 2, , 
T0201, 法学(憲法含), T, 2, 0, 02, A, 1, 4, 2000, 2100
T0202, 政治学(A), T, 2, 0, 02, E, 1, 4, 2000, 2100
T0203, 経済学, T, 2, 0, 02, A, 1, 4, 2000, 2100
