id,subject,subject_type,schooling_type,faculty_type,credit,year
7738,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2021
7739,論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2021
8999,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2021
7745,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2021
7746,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2021
7747,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2021
7748,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2021
7749,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2021
7750,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2021
7751,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2021
7752,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2021
7753,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2021
7754,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2021
7755,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2021
7756,新・地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2021
7757,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2021
7758,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2021
7759,新・生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2021
7760,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2021
7761,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2021
7762,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2021
7763,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2021
7764,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2021
7765,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2021
7766,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2021
7767,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2021
7768,新・フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2021
7769,新・フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2021
7770,フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2021
7771,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2021
7772,保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2021
7773,体育理論,総合教育科目,テキスト科目,保健体育科目,2,2021
7774,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2021
7775,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2021
7776,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2021
7777,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2021
7778,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2021
7779,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2021
7780,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2021
7781,社会学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2021
7782,新新・社会学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,2,2021
7783,社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2021
7784,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2021
7785,心理学Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2021
7786,心理学Ⅱ,文学部専門教育科目,テキスト科目,第1類,2,2021
7787,教育学,文学部専門教育科目,テキスト科目,第1類,3,2021
7788,教育心理学,文学部専門教育科目,テキスト科目,第1類,2,2021
7789,教育史,文学部専門教育科目,テキスト科目,第1類,4,2021
7790,教育思想史,文学部専門教育科目,テキスト科目,第1類,4,2021
7791,教育社会学,文学部専門教育科目,テキスト科目,第1類,2,2021
7792,心理・教育統計学,文学部専門教育科目,テキスト科目,第1類,3,2021
7793,法学概論(L),文学部専門教育科目,テキスト科目,第1類,2,2021
7794,史学概論,文学部専門教育科目,テキスト科目,第2類,2,2021
7795,日本史概論,文学部専門教育科目,テキスト科目,第2類,2,2021
7796,日本史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2021
7797,日本史特殊Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2021
7798,日本史特殊Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2021
7799,日本史特殊Ⅳ,文学部専門教育科目,テキスト科目,第2類,2,2021
7800,古文書学,文学部専門教育科目,テキスト科目,第2類,2,2021
7801,世界史概論,文学部専門教育科目,テキスト科目,第2類,2,2021
7802,東洋史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2021
7803,東洋史概説Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2021
7804,東洋史特殊,文学部専門教育科目,テキスト科目,第2類,2,2021
7805,西洋史概説Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2021
7806,西洋史概説Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2021
7807,西洋史特殊Ⅰ,文学部専門教育科目,テキスト科目,第2類,2,2021
7808,西洋史特殊Ⅱ,文学部専門教育科目,テキスト科目,第2類,2,2021
7809,西洋史特殊Ⅲ,文学部専門教育科目,テキスト科目,第2類,2,2021
7810,オリエント考古学,文学部専門教育科目,テキスト科目,第2類,2,2021
