id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
18790,哲学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2025,T0AA000502
18791,新・論理学（Ａ）,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2025,T0AA000202
20411,文学,総合教育科目,テキスト科目,3分野科目/人文科学分野,4,2025,T0AA000401
18797,歴史（日本史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2025,T0AA000103
18798,歴史（東洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2025,T0AA000302
18799,歴史（西洋史）,総合教育科目,テキスト科目,3分野科目/人文科学分野,2,2025,T0AA000601
18800,法学（憲法を含む）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025,T0AB000202
18801,政治学（Ａ）,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025,T0AB000401
18802,経済学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025,T0AB000102
18803,社会学,総合教育科目,テキスト科目,3分野科目/社会科学分野,4,2025,T0AB000304
18804,統計学（Ａ）,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025,T0AC000604
18805,数学（基礎）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2025,T0AC000702
18806,数学（微分・積分）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2025,T0AC000801
18807,数学（線形数学）,総合教育科目,テキスト科目,3分野科目/自然科学分野,2,2025,T0AC000403
18808,地学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025,T0AC000504
18809,物理学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025,T0AC000103
18810,化学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025,T0AC000203
18811,生物学,総合教育科目,テキスト科目,3分野科目/自然科学分野,4,2025,T0AC000304
18812,英語Ⅰ,総合教育科目,テキスト科目,外国語科目/英語,2,2025,T0DA000701
18813,英語Ⅱ,総合教育科目,テキスト科目,外国語科目/英語,2,2025,T0DA000302
18814,英語Ⅲ,総合教育科目,テキスト科目,外国語科目/英語,2,2025,T0DA000801
18815,英語Ⅶ,総合教育科目,テキスト科目,外国語科目/英語,2,2025,T0DA000401
18816,ドイツ語第一部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025,T0DB000102
18817,ドイツ語第二部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025,T0DB000202
18818,ドイツ語第三部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025,T0DB000402
18819,ドイツ語第四部,総合教育科目,テキスト科目,外国語科目/ドイツ語,2,2025,T0DB000301
18820,フランス語第一部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2025,T0DC000103
18821,フランス語第二部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2025,T0DC000203
18822,フランス語第三部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2025,T0DC000403
18823,フランス語第四部,総合教育科目,テキスト科目,外国語科目/フランス語,2,2025,T0DC000702
18824,新・保健衛生,総合教育科目,テキスト科目,保健体育科目,2,2025,T0CA000204
18825,体育理論,総合教育科目,テキスト科目,保健体育科目,2,2025,T0CA000103
18826,西洋哲学史Ⅰ,文学部専門教育科目,テキスト科目,第1類,4,2025,T0EA001901
18827,西洋哲学史Ⅱ,文学部専門教育科目,テキスト科目,第1類,3,2025,T0EA006901
18828,論理学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA003201
18829,科学哲学,文学部専門教育科目,テキスト科目,第1類,4,2025,T0EA010401
18830,倫理学,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA000801
18831,現代倫理学の諸問題,文学部専門教育科目,テキスト科目,第1類,4,2025,T0EA004401
18832,日本美術史Ⅰ,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA003102
18833,メディア社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA100701
18845,社会調査,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA100601
18834,社会心理学,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA007003
18835,都市社会学（Ｌ）,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA010502
18836,心理学Ａ,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA007401
18837,心理学Ｂ,文学部専門教育科目,テキスト科目,第1類,2,2025,T0EA008101
18838,教育学,文学部専門教育科目,テキスト科目,第1類,3,2025,T0EA003302
