No, 授業形態, 大分類, 中分類, 小分類, 科目名, 科目名(新を除く), 配本名, 期No, 群, 単位数, レポ提出
13957, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 哲学, 哲学, Ⅱ, 3, E, 4, WEB可
13958, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 論理学（Ａ）, 論理学（Ａ）, Ⅰ, 1, B, 4, WEB可
15580, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 文学, 文学, Ⅱ, 3, D, 4, WEB可
13964, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 歴史（日本史）, 歴史（日本史）, Ⅰ, 1, A, 2, 手書き
13965, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 歴史（東洋史）, 歴史（東洋史）, Ⅰ, 1, C, 2, WEB可
13966, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 歴史（西洋史）, 歴史（西洋史）, Ⅰ, 1, E, 2, WEB可
13967, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 新・法学（憲法を含む）, 法学（憲法を含む）, Ⅰ, 1, A, 4, 郵送
13968, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 政治学（Ａ）, 政治学（Ａ）, Ⅰ, 1, E, 4, WEB可
15384, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 新・経済学, 経済学, Ⅰ, 1, A, 4, WEB可
13970, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 新・社会学, 社会学, Ⅱ, 3, C, 4, WEB可
13971, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 統計学（Ａ）, 統計学（Ａ）, Ⅰ, 1, D, 4, 手書き
13972, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 数学（基礎）, 数学（基礎）, Ⅱ, 3, D, 2, 手書き
13973, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 数学（微分・積分）, 数学（微分・積分）, Ⅱ, 3, F, 2, 手書き
13974, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 数学（線形数学）, 数学（線形数学）, Ⅱ, 3, C, 2, 手書き
13975, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 地学, 地学, Ⅰ, 1, C, 4, 手書き
13976, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 物理学, 物理学, Ⅰ, 1, A, 4, WEB可
13977, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 化学, 化学, Ⅰ, 1, A, 4, WEB可
13978, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 生物学, 生物学, Ⅰ, 1, A, 4, WEB可
13981, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅰ, 英語Ⅰ, Ⅰ, 1, D, 2, 郵送
13982, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅱ, 英語Ⅱ, Ⅰ, 1, B, 2, 郵送
13983, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅲ, 英語Ⅲ, Ⅱ, 3, F, 2, WEB可
13984, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅶ, 英語Ⅶ, Ⅱ, 3, E, 2, WEB可
13985, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第一部, ドイツ語第一部, Ⅰ, 1, B, 2, 手書き
13986, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第二部, ドイツ語第二部, Ⅰ, 1, D, 2, WEB可
13987, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第三部, ドイツ語第三部, Ⅱ, 3, F, 2, WEB可
13988, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第四部, ドイツ語第四部, Ⅱ, 3, E, 2, WEB可
13989, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第一部, フランス語第一部, Ⅰ, 1, B, 2, 手書き
13990, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第二部, フランス語第二部, Ⅰ, 1, D, 2, WEB可
13991, テキスト, 総合教育科目, 外国語科目, フランス語, 新・フランス語第三部, フランス語第三部, Ⅱ, 3, F, 2, WEB可
13992, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第四部, フランス語第四部, Ⅱ, 3, E, 2, WEB可
13579, テキスト, 総合教育科目, 保健体育科目, , 保健衛生, 保健衛生, Ⅰ, 1, F, 2, 手書き
13580, テキスト, 総合教育科目, 保健体育科目, , 新・体育理論, 体育理論, Ⅰ, 1, C, 2, WEB可
13993, テキスト, 文学部専門教育科目, 第1類, , 西洋哲学史Ⅰ, 西洋哲学史Ⅰ, Ⅲ①, 5, B, 4, WEB可
13994, テキスト, 文学部専門教育科目, 第1類, , 西洋哲学史Ⅱ, 西洋哲学史Ⅱ, Ⅳ②, 8, F, 3, WEB可
13995, テキスト, 文学部専門教育科目, 第1類, , 論理学（Ｌ）, 論理学（Ｌ）, Ⅲ②, 6, C, 2, WEB可
13996, テキスト, 文学部専門教育科目, 第1類, , 科学哲学, 科学哲学, Ⅲ①, 5, C, 4, WEB可
13997, テキスト, 文学部専門教育科目, 第1類, , 倫理学, 倫理学, Ⅲ②, 6, A, 2, WEB可
13998, テキスト, 文学部専門教育科目, 第1類, , 現代倫理学の諸問題, 現代倫理学の諸問題, Ⅳ①, 7, D, 2, WEB可
13999, テキスト, 文学部専門教育科目, 第1類, , 日本美術史Ⅰ, 日本美術史Ⅰ, Ⅳ②, 8, C, 2, 郵送
14000, テキスト, 文学部専門教育科目, 第1類, , メディア社会心理学, メディア社会心理学, Ⅲ②, 6, A, 2, WEB可
14001, テキスト, 文学部専門教育科目, 第1類, , 社会心理学, 社会心理学, Ⅳ②, 8, F, 2, WEB可
14002, テキスト, 文学部専門教育科目, 第1類, , 都市社会学（Ｌ）, 都市社会学（Ｌ）, Ⅳ①, 7, E, 2, WEB可
14003, テキスト, 文学部専門教育科目, 第1類, , 心理学Ａ, 心理学Ａ, Ⅲ①, 5, E, 2, WEB可
14004, テキスト, 文学部専門教育科目, 第1類, , 心理学Ｂ, 心理学Ｂ, Ⅲ①, 5, B, 2, WEB可
14005, テキスト, 文学部専門教育科目, 第1類, , 教育学, 教育学, Ⅲ①, 5, C, 3, WEB可
14006, テキスト, 文学部専門教育科目, 第1類, , 教育心理学, 教育心理学, Ⅳ①, 7, E, 2, WEB可
14007, テキスト, 文学部専門教育科目, 第1類, , 教育史, 教育史, Ⅳ①, 7, D, 4, WEB可
14008, テキスト, 文学部専門教育科目, 第1類, , 教育思想史, 教育思想史, Ⅲ②, 6, A, 4, WEB可
14009, テキスト, 文学部専門教育科目, 第1類, , 教育社会学, 教育社会学, Ⅳ①, 7, F, 2, WEB可
14010, テキスト, 文学部専門教育科目, 第1類, , 心理・教育統計学, 心理・教育統計学, Ⅳ②, 8, B, 3, WEB可
14011, テキスト, 文学部専門教育科目, 第1類, , 新・法学概論（L), 法学概論（L), Ⅱ, 3, D, 2, 郵送
